Manually confirmed derivation: Y/YES, X - not confirmed, B/XB - multistep derivation	Zero	V synset	V literal	N synset	N literal	Status: MS - in standoff files / NEW_LIT_PAIR_REL - new pair of literals in already connected synsets / NEW_PAIR_REL - new pair of literals in unconnected synsets
Y	FALSE	eng-30-00245289-v	abate	eng-30-09754051-n	abator	NEW_PAIR_REL
Y	FALSE	eng-30-02662076-v	aberrate	eng-30-09755893-n	aberrant	NEW_PAIR_REL
YES	FALSE	eng-30-02661769-v	aberrate	eng-30-11420139-n	aberration	MS
YES	FALSE	eng-30-02661769-v	aberrate	eng-30-14503665-n	aberration	MS
YES	FALSE	eng-30-02662076-v	aberrate	eng-30-14503665-n	aberration	MS
Y	FALSE	eng-30-02662076-v	aberrate	eng-30-14386590-n	aberration	NEW_PAIR_REL
Y	FALSE	eng-30-01774426-v	abhor	eng-30-09756195-n	abhorrer	NEW_PAIR_REL
Y	FALSE	eng-30-00798717-v	abjure	eng-30-09754541-n	abjurer	NEW_PAIR_REL
Y	FALSE	eng-30-01186958-v	ablactate	eng-30-00198270-n	ablactation	NEW_PAIR_REL
Y	FALSE	eng-30-01254013-v	abrade	eng-30-14799244-n	abradant	NEW_PAIR_REL
Y	FALSE	eng-30-01254013-v	abrase	eng-30-14799244-n	abradant	NEW_PAIR_REL
Y	FALSE	eng-30-01254013-v	abrase	eng-30-11460063-n	abrasion	NEW_LIT_PAIR_KNOWN_REL
Y	FALSE	eng-30-01254013-v	abrase	eng-30-13423615-n	abrasion	NEW_LIT_PAIR_KNOWN_REL
Y	FALSE	eng-30-01254013-v	abrase	eng-30-14286549-n	abrasion	NEW_LIT_PAIR_KNOWN_REL
Y	FALSE	eng-30-01254013-v	abrase	eng-30-14799244-n	abrasive	NEW_PAIR_REL
Y	FALSE	eng-30-01539633-v	absorb	eng-30-14597628-n	absorbate	NEW_PAIR_REL
YES	FALSE	eng-30-00602255-v	absorb	eng-30-13434878-n	absorption	MS
YES	FALSE	eng-30-01539063-v	absorb	eng-30-13423922-n	absorption	MS
YES	FALSE	eng-30-02765464-v	absorb	eng-30-13424183-n	absorption	MS
YES	FALSE	eng-30-01539633-v	absorb	eng-30-13423922-n	absorption	MS
YES	FALSE	eng-30-00601043-v	absorb	eng-30-05704266-n	absorption	MS
YES	FALSE	eng-30-00600370-v	absorb	eng-30-05700087-n	absorption	MS
Y	FALSE	eng-30-00600370-v	absorb	eng-30-05704266-n	absorption	NEW_LIT_PAIR_KNOWN_REL
Y	FALSE	eng-30-00601043-v	absorb	eng-30-05700087-n	absorption	NEW_LIT_PAIR_KNOWN_REL
YES	FALSE	eng-30-00692329-v	abstract	eng-30-05780104-n	abstraction	MS
YES	FALSE	eng-30-00692329-v	abstract	eng-30-00002137-n	abstraction	MS
YES	FALSE	eng-30-00692329-v	abstract	eng-30-05854150-n	abstraction	MS
Y	FALSE	eng-30-00734587-v	abstract	eng-30-05854150-n	abstraction	NEW_LIT_PAIR_KNOWN_REL
Y	FALSE	eng-30-00438178-v	accelerate	eng-30-00330457-n	acceleration	NEW_PAIR_REL
Y	TRUE	eng-30-00983333-v	accent	eng-30-07131511-n	accent	NEW_PAIR_REL
Y	TRUE	eng-30-00983333-v	accent	eng-30-06822198-n	accent	NEW_PAIR_REL
Y	TRUE	eng-30-00983333-v	accent	eng-30-07155661-n	accent	NEW_PAIR_REL
Y	FALSE	eng-30-01013367-v	accentuate	eng-30-14434866-n	accent	NEW_LIT_PAIR_KNOWN_REL
Y	FALSE	eng-30-00983333-v	accentuate	eng-30-07085375-n	accent	NEW_LIT_PAIR_KNOWN_REL
Y	FALSE	eng-30-00983333-v	accentuate	eng-30-07131511-n	accent	NEW_PAIR_REL
Y	FALSE	eng-30-00983333-v	accentuate	eng-30-06822198-n	accent	NEW_PAIR_REL
Y	FALSE	eng-30-00983333-v	accentuate	eng-30-07155661-n	accent	NEW_PAIR_REL
YES	FALSE	eng-30-00719231-v	accept	eng-30-00180413-n	acceptance	MS
YES	FALSE	eng-30-02236124-v	accept	eng-30-00082525-n	acceptance	MS
Y	FALSE	eng-30-02236124-v	accept	eng-30-00180413-n	acceptance	NEW_LIT_PAIR_KNOWN_REL
Y	FALSE	eng-30-00797697-v	accept	eng-30-00180413-n	acceptance	NEW_LIT_PAIR_KNOWN_REL
YES	FALSE	eng-30-00668805-v	accept	eng-30-04638175-n	acceptance	MS
YES	FALSE	eng-30-00719231-v	accept	eng-30-13932421-n	acceptance	MS
YES	FALSE	eng-30-00686447-v	accept	eng-30-06193727-n	acceptance	MS
Y	FALSE	eng-30-01728355-v	accompany	eng-30-09760913-n	accompanist	NEW_PAIR_REL
Y	FALSE	eng-30-01728355-v	accompany	eng-30-09760913-n	accompanyist	NEW_PAIR_REL
Y	TRUE	eng-30-00965035-v	account	eng-30-06681551-n	account	NEW_LIT_PAIR_KNOWN_REL
Y	TRUE	eng-30-00965035-v	account	eng-30-07217924-n	account	NEW_LIT_PAIR_KNOWN_REL
YES	TRUE	eng-30-02265231-v	account	eng-30-06516955-n	account	MS
YES	TRUE	eng-30-00867644-v	account	eng-30-06738281-n	account	MS
YES	TRUE	eng-30-00965035-v	account	eng-30-06738281-n	account	MS
Y	TRUE	eng-30-02265231-v	account	eng-30-13354985-n	account	NEW_PAIR_REL
Y	FALSE	eng-30-02265231-v	account	eng-30-00618734-n	accountancy	NEW_PAIR_REL
Y	FALSE	eng-30-02265231-v	account	eng-30-09761403-n	accountant	NEW_PAIR_REL
Y	FALSE	eng-30-02265231-v	account	eng-30-05662532-n	accounting	NEW_PAIR_REL
Y	FALSE	eng-30-02265231-v	account	eng-30-13405962-n	accounting	NEW_PAIR_REL
Y	FALSE	eng-30-02265231-v	account	eng-30-00618734-n	accounting	NEW_PAIR_REL
Y	FALSE	eng-30-02265231-v	account	eng-30-13354985-n	accounting	NEW_PAIR_REL
Y	FALSE	eng-30-00159880-v	acculturate	eng-30-05984936-n	acculturation	NEW_PAIR_REL
Y	FALSE	eng-30-02196690-v	acetify	eng-30-07828987-n	acetum	NEW_PAIR_REL
Y	FALSE	eng-30-00264875-v	acetify	eng-30-14599641-n	acetum	NEW_PAIR_REL
Y	FALSE	eng-30-02196690-v	acetify	eng-30-14599641-n	acetum	NEW_PAIR_REL
Y	FALSE	eng-30-00524083-v	acetylate	eng-30-14594456-n	acetyl	NEW_PAIR_REL
Y	FALSE	eng-30-00524299-v	acetylate	eng-30-14594456-n	acetyl	NEW_PAIR_REL
Y	FALSE	eng-30-00524083-v	acetylise	eng-30-14594456-n	acetyl	NEW_PAIR_REL
Y	FALSE	eng-30-00524299-v	acetylise	eng-30-14594456-n	acetyl	NEW_PAIR_REL
Y	FALSE	eng-30-02121511-v	ache	eng-30-14323683-n	aching	NEW_LIT_PAIR_KNOWN_REL
