Confirmed derivation	NEW SUFFIX	Zero	V synset	V literal	N synset	N literal	Existing MS relation	MS - in standoff files / NEW_LIT_PAIR_REL - new pair of literals in already connected synsets / NEW_PAIR_REL - new pair of literals in unconnected synsets
Y	or	FALSE	eng-30-00245289-v	abate	eng-30-09754051-n	abator		NEW_PAIR_REL
Y	ant	FALSE	eng-30-02662076-v	aberrate	eng-30-09755893-n	aberrant		NEW_PAIR_REL
YES	ion	FALSE	eng-30-02661769-v	aberrate	eng-30-11420139-n	aberration	event	MS
YES	ion	FALSE	eng-30-02661769-v	aberrate	eng-30-14503665-n	aberration	state	MS
YES	ion	FALSE	eng-30-02662076-v	aberrate	eng-30-14503665-n	aberration	state	MS
Y	ion	FALSE	eng-30-02662076-v	aberrate	eng-30-14386590-n	aberration		NEW_PAIR_REL
Y	er	FALSE	eng-30-01774426-v	abhor	eng-30-09756195-n	abhorrer		NEW_PAIR_REL
Y	er	FALSE	eng-30-00798717-v	abjure	eng-30-09754541-n	abjurer		NEW_PAIR_REL
Y	ion	FALSE	eng-30-01186958-v	ablactate	eng-30-00198270-n	ablactation		NEW_PAIR_REL
Y	ant	FALSE	eng-30-01254013-v	abrade	eng-30-14799244-n	abradant		NEW_PAIR_REL
Y	ant	FALSE	eng-30-01254013-v	abrase	eng-30-14799244-n	abradant		NEW_PAIR_REL
Y	ion	FALSE	eng-30-01254013-v	abrase	eng-30-11460063-n	abrasion	event	NEW_LIT_PAIR_KNOWN_REL
Y	ion	FALSE	eng-30-01254013-v	abrase	eng-30-13423615-n	abrasion	event	NEW_LIT_PAIR_KNOWN_REL
Y	ion	FALSE	eng-30-01254013-v	abrase	eng-30-14286549-n	abrasion	location	NEW_LIT_PAIR_KNOWN_REL
Y	ive	FALSE	eng-30-01254013-v	abrase	eng-30-14799244-n	abrasive		NEW_PAIR_REL
Y	ate	FALSE	eng-30-01539633-v	absorb	eng-30-14597628-n	absorbate	UNDERGOER	NEW_PAIR_REL
YES	tion	FALSE	eng-30-00602255-v	absorb	eng-30-13434878-n	absorption	event	MS
YES	tion	FALSE	eng-30-01539063-v	absorb	eng-30-13423922-n	absorption	event	MS
YES	tion	FALSE	eng-30-02765464-v	absorb	eng-30-13424183-n	absorption	event	MS
YES	tion	FALSE	eng-30-01539633-v	absorb	eng-30-13423922-n	absorption	event	MS
YES	tion	FALSE	eng-30-00601043-v	absorb	eng-30-05704266-n	absorption	result	MS
YES	tion	FALSE	eng-30-00600370-v	absorb	eng-30-05700087-n	absorption	state	MS
Y	tion	FALSE	eng-30-00600370-v	absorb	eng-30-05704266-n	absorption	state	NEW_LIT_PAIR_KNOWN_REL
Y	tion	FALSE	eng-30-00601043-v	absorb	eng-30-05700087-n	absorption	state	NEW_LIT_PAIR_KNOWN_REL
YES	ion	FALSE	eng-30-00692329-v	abstract	eng-30-05780104-n	abstraction	event	MS
YES	ion	FALSE	eng-30-00692329-v	abstract	eng-30-00002137-n	abstraction	undergoer	MS
YES	ion	FALSE	eng-30-00692329-v	abstract	eng-30-05854150-n	abstraction	undergoer	MS
Y	ion	FALSE	eng-30-00734587-v	abstract	eng-30-05854150-n	abstraction	undergoer	NEW_LIT_PAIR_KNOWN_REL
Y	ion	FALSE	eng-30-00438178-v	accelerate	eng-30-00330457-n	acceleration		NEW_PAIR_REL
Y		TRUE	eng-30-00983333-v	accent	eng-30-07131511-n	accent		NEW_PAIR_REL
Y		TRUE	eng-30-00983333-v	accent	eng-30-06822198-n	accent		NEW_PAIR_REL
Y		TRUE	eng-30-00983333-v	accent	eng-30-07155661-n	accent		NEW_PAIR_REL
Y	ate	FALSE	eng-30-01013367-v	accentuate	eng-30-14434866-n	accent	result	NEW_LIT_PAIR_KNOWN_REL
Y	ate	FALSE	eng-30-00983333-v	accentuate	eng-30-07085375-n	accent	result uses	NEW_LIT_PAIR_KNOWN_REL
Y	ate	FALSE	eng-30-00983333-v	accentuate	eng-30-07131511-n	accent	USES	NEW_PAIR_REL
Y	ate	FALSE	eng-30-00983333-v	accentuate	eng-30-06822198-n	accent	USES	NEW_PAIR_REL
Y	ate	FALSE	eng-30-00983333-v	accentuate	eng-30-07155661-n	accent	USES	NEW_PAIR_REL
YES	ance	FALSE	eng-30-00719231-v	accept	eng-30-00180413-n	acceptance	event	MS
YES	ance	FALSE	eng-30-02236124-v	accept	eng-30-00082525-n	acceptance	event	MS
Y	ance	FALSE	eng-30-02236124-v	accept	eng-30-00180413-n	acceptance	event	NEW_LIT_PAIR_KNOWN_REL
