	Confirmed derivation	NEW SUFFIX	Zero	Derivation_Direction	V literal	N literal	Morphosemantic relation	V synset	V gloss	N synset	N gloss	MS - in standoff files / NEW_LIT_PAIR_REL - new pair of literals in already connected synsets / NEW_PAIR_REL - new pair of literals in unconnected synsets
1	YES		TRUE	ZeroN	sublet	sublet	by-means-of	eng-30-02209261-v	lease or rent all or part of (a leased or rented property) to another person	eng-30-13248928-n	a lease from one lessee to another	MS
2	YES	ion	FALSE		coruscate	coruscation	event	eng-30-00473003-v	be lively or brilliant or exhibit virtuosity	eng-30-05619903-n	a sudden or striking display of brilliance	MS
3	YES	ence	FALSE		correspond	correspondence	event	eng-30-01006810-v	exchange messages	eng-30-06623614-n	communication by the exchange of letters	MS
4	YES	ion	FALSE		exasperate	exasperation	state	eng-30-01820901-v	exasperate or irritate	eng-30-07518878-n	an exasperated feeling of annoyance	MS
5	YES	al	FALSE		betroth	betrothal	event	eng-30-00886602-v	give to in marriage	eng-30-01036778-n	the act of becoming betrothed or engaged	MS
6	YES		TRUE	ZeroV	bone	bone	undergoer	eng-30-00197423-v	remove the bones from	eng-30-14757848-n	the porous calcified substance from which bones are made	MS
7	YES		TRUE	ZeroN	chatter	chatter	event	eng-30-01038666-v	talk socially without exchanging too much information	eng-30-07136940-n	noisy talk	MS
8	YES	ion	FALSE		ejaculate	ejaculation	event	eng-30-00055010-v	eject semen	eng-30-13471815-n	the discharge of semen in males	MS
9	YES		TRUE		delay	delay	event	eng-30-02641957-v	act later than planned, scheduled, or required	eng-30-15272029-n	time during which some action is awaited	MS
10	YES		TRUE	ZeroV	chorus	chorus	agent	eng-30-01730799-v	sing in a choir	eng-30-08187837-n	a group of people assembled to sing together	MS
11	YES	er	FALSE		theorise	theoriser	agent	eng-30-00633443-v	to believe especially on uncertain or tentative grounds	eng-30-10706812-n	someone who theorizes (especially in science or art)	MS
12	YES	ation	FALSE		organise	organisation	event	eng-30-00710005-v	plan and direct (a complex undertaking)	eng-30-01008378-n	the activity or result of distributing or disposing persons or things properly or methodically	MS
13	YES	er	FALSE		declare	declarer	agent	eng-30-00820801-v	state firmly	eng-30-09814660-n	someone who claims to speak the truth	MS
14	YES		TRUE	ZeroN	clamber	clamber	event	eng-30-01921772-v	climb awkwardly, as if by scrambling	eng-30-00325502-n	an awkward climb	MS
15	YES	ment	FALSE		enthrall	enthrallment	state	eng-30-01817314-v	hold spellbound	eng-30-07497976-n	a feeling of great liking for something wonderful and unusual	MS
16	YES	ment	FALSE		enfranchise	enfranchisement	state	eng-30-02477135-v	grant freedom to; as from slavery or servitude	eng-30-13992387-n	freedom from political subjugation or servitude	MS
17	YES	or	FALSE		percuss	percussor	instrument	eng-30-01248023-v	strike or tap firmly	eng-30-03966751-n	(medicine) a small hammer with a rubber head used in percussive examinations of the chest and in testing reflexes	MS
18	YES		TRUE	ZeroV	fricassee	fricassee	undergoer	eng-30-00323703-v	make a fricassee of by cooking	eng-30-07592094-n	pieces of chicken or other meat stewed in gravy with e.g. carrots and onions and served with noodles or dumplings	MS
19	YES		TRUE		heat	heat	by-means-of	eng-30-00371264-v	make hot or hotter	eng-30-11466043-n	a form of energy that is transferred by a difference in temperature	MS
20	YES		TRUE		curve	curve	result	eng-30-00362128-v	form a curl, curve, or kink	eng-30-02829696-n	curved segment (of a road or river or railroad track etc.)	MS
